id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,input pressure,87,32,16,32,254,ship,baseline,monotonic-signal
g002,state drift,109,60,34,78,392,ship,edge,drag-penalty
g003,review cost,36,41,44,27,76,hold,recovery,confidence-floor
g004,decision risk,91,69,9,41,375,ship,negative,lane-boundary
g005,input pressure,78,51,35,96,345,ship,baseline,monotonic-signal
g006,state drift,31,44,7,85,299,ship,edge,drag-penalty
g007,review cost,99,8,16,84,334,ship,recovery,confidence-floor
g008,decision risk,92,28,22,45,264,ship,negative,lane-boundary
g009,input pressure,92,40,5,73,395,ship,baseline,monotonic-signal
g010,state drift,96,49,40,48,266,ship,edge,drag-penalty
g011,review cost,57,21,17,40,185,watch,recovery,confidence-floor
g012,decision risk,85,9,28,84,272,ship,negative,lane-boundary
g013,input pressure,59,76,11,67,371,ship,baseline,monotonic-signal
g014,state drift,93,42,7,63,375,ship,edge,drag-penalty
g015,review cost,114,27,28,23,244,ship,recovery,confidence-floor
g016,decision risk,40,22,19,93,253,ship,negative,lane-boundary
g017,input pressure,50,57,16,90,346,ship,baseline,monotonic-signal
g018,state drift,59,42,37,50,191,watch,edge,drag-penalty
g019,review cost,67,72,7,34,325,ship,recovery,confidence-floor
g020,decision risk,74,55,14,31,278,ship,negative,lane-boundary
g021,input pressure,81,14,40,77,224,ship,baseline,monotonic-signal
g022,state drift,44,31,34,26,100,watch,edge,drag-penalty
g023,review cost,73,42,11,40,277,ship,recovery,confidence-floor
g024,decision risk,47,50,43,95,255,ship,negative,lane-boundary
g025,input pressure,38,57,19,84,301,ship,baseline,monotonic-signal
g026,state drift,37,27,29,83,207,ship,edge,drag-penalty
g027,review cost,40,50,36,44,160,watch,recovery,confidence-floor
g028,decision risk,45,29,20,72,232,ship,negative,lane-boundary
g029,input pressure,51,56,34,47,206,ship,baseline,monotonic-signal
g030,state drift,101,37,43,39,225,ship,edge,drag-penalty
g031,review cost,86,65,7,83,447,ship,recovery,confidence-floor
g032,decision risk,40,46,32,66,208,ship,negative,lane-boundary
g033,input pressure,62,74,25,62,321,ship,baseline,monotonic-signal
g034,state drift,77,56,44,22,178,watch,edge,drag-penalty
g035,review cost,44,49,13,92,331,ship,recovery,confidence-floor
g036,decision risk,31,13,38,89,152,watch,negative,lane-boundary
g037,input pressure,72,33,34,49,206,ship,baseline,monotonic-signal
g038,state drift,52,45,13,33,221,ship,edge,drag-penalty
g039,review cost,45,54,4,30,246,ship,recovery,confidence-floor
g040,decision risk,45,26,43,76,165,watch,negative,lane-boundary
g041,input pressure,49,14,22,25,110,watch,baseline,monotonic-signal
g042,state drift,98,11,34,39,194,ship,edge,drag-penalty
g043,review cost,38,47,41,94,235,ship,recovery,confidence-floor
g044,decision risk,100,32,25,83,355,ship,negative,lane-boundary
g045,input pressure,46,27,19,82,253,ship,baseline,monotonic-signal
g046,state drift,67,62,38,43,230,ship,edge,drag-penalty
g047,review cost,81,47,28,71,314,ship,recovery,confidence-floor
g048,decision risk,91,77,4,46,416,ship,negative,lane-boundary
g049,input pressure,100,60,14,38,354,ship,baseline,monotonic-signal
g050,state drift,108,19,21,82,355,ship,edge,drag-penalty
g051,review cost,115,36,5,65,417,ship,recovery,confidence-floor
g052,decision risk,34,47,19,61,227,ship,negative,lane-boundary
g053,input pressure,85,55,28,21,238,ship,baseline,monotonic-signal
g054,state drift,114,62,34,91,432,ship,edge,drag-penalty
g055,review cost,88,32,17,88,365,ship,recovery,confidence-floor
g056,decision risk,79,55,10,48,334,ship,negative,lane-boundary
g057,input pressure,78,34,29,32,201,ship,baseline,monotonic-signal
g058,state drift,81,61,40,29,222,ship,edge,drag-penalty
g059,review cost,86,42,23,75,337,ship,recovery,confidence-floor
g060,decision risk,92,70,19,24,315,ship,negative,lane-boundary
g061,input pressure,54,51,40,38,166,watch,baseline,monotonic-signal
g062,state drift,39,9,31,93,189,watch,edge,drag-penalty
g063,review cost,81,61,28,82,364,ship,recovery,confidence-floor
g064,decision risk,103,54,7,81,455,ship,negative,lane-boundary
g065,input pressure,30,18,19,42,123,watch,baseline,monotonic-signal
g066,state drift,85,38,26,70,308,ship,edge,drag-penalty
